2203
idno,freehms,gincdif,lrscale,impcntr,euftf,group
9357,0.5,1,-1,-0.33333333333333326,-0.8,5
9363,1,1,0,-0.33333333333333326,0.19999999999999996,2
9486,0.5,-0,-0.4,-0.33333333333333326,0,2
9494,1,1,0.19999999999999996,0.33333333333333337,0.6000000000000001,1
9500,1,-0,0.19999999999999996,-0.33333333333333326,0.6000000000000001,2
9557,-0,-0.5,0,0.33333333333333337,0.6000000000000001,3
9570,1,-0,-0.19999999999999996,0.33333333333333337,-0.19999999999999996,5
9611,0.5,-0,-0.8,0.33333333333333337,0.3999999999999999,6
9613,-0,1,0.19999999999999996,0.33333333333333337,-0.6,5
9619,1,-0,0.3999999999999999,0.33333333333333337,0,2
9620,1,-0.5,0.3999999999999999,0.33333333333333337,0.19999999999999996,5
9632,1,1,-0.4,0.33333333333333337,0,5
9635,1,1,-0.4,1,0,5
9719,1,1,-1,0.33333333333333337,0.8,6
9737,-1,-0,-0.4,-0.33333333333333326,-0.6,2
9749,1,0.5,-0.6,0.33333333333333337,0.6000000000000001,5
9750,0.5,-0,0.19999999999999996,0.33333333333333337,-0.4,2
9771,1,1,0.19999999999999996,0.33333333333333337,1,2
9795,0.5,0.5,0.8,0.33333333333333337,-0.4,6
9805,-0.5,-0,0,-1,-0.6,5
9848,1,1,0,-1,0,5
9874,1,1,0.3999999999999999,0.33333333333333337,0.6000000000000001,1
9898,0.5,-0.5,0,-0.33333333333333326,0.3999999999999999,3
9931,0.5,0.5,0.6000000000000001,-1,-0.4,6
9964,1,0.5,-0.4,0.33333333333333337,0,2
10089,1,0.5,0,0.33333333333333337,0.19999999999999996,6
10128,1,0.5,-0.6,-0.33333333333333326,0,6
10217,1,0.5,0.19999999999999996,0.33333333333333337,0.19999999999999996,3
10310,1,0.5,-1,0.33333333333333337,0.6000000000000001,2
10324,1,-0.5,-0.4,0.33333333333333337,-0.8,2
10364,0.5,0.5,0,0.33333333333333337,0.3999999999999999,1
10391,0.5,-0.5,0,-0.33333333333333326,1,4
10404,0.5,-0,0.19999999999999996,0.33333333333333337,-0.6,2
10417,0.5,0.5,0,0.33333333333333337,0,2
10458,1,0.5,-0.4,0.33333333333333337,0.6000000000000001,1
10612,0.5,-0.5,0.19999999999999996,-0.33333333333333326,-1,6
10642,0.5,0.5,-0.19999999999999996,1,0.6000000000000001,6
10670,-0,1,-0.19999999999999996,-0.33333333333333326,0.3999999999999999,2
10729,0.5,0.5,0,-0.33333333333333326,0.6000000000000001,3
10733,0.5,-0,0,0.33333333333333337,0.19999999999999996,2
10768,1,1,0,1,0.6000000000000001,2
10779,0.5,1,-0.6,0.33333333333333337,0.6000000000000001,2
10818,1,1,0.19999999999999996,0.33333333333333337,-0.4,1
10859,1,1,-0.4,1,0.8,1
10869,1,0.5,-0.4,0.33333333333333337,-0.4,4
10920,0.5,1,-0.6,1,1,2
10923,1,1,0,0.33333333333333337,1,1
11137,1,0.5,-0.19999999999999996,1,0.3999999999999999,1
11151,0.5,0.5,0.6000000000000001,-1,-0.4,1
11167,0.5,0.5,-0.4,0.33333333333333337,0.8,3
11190,0.5,-0.5,0,0.33333333333333337,0.19999999999999996,1
11224,0.5,0.5,0,-0.33333333333333326,0.6000000000000001,1
11254,1,0.5,-0.4,1,0,6
11262,1,0.5,0,0.33333333333333337,0.6000000000000001,1
11271,1,-0.5,-0.6,1,0.6000000000000001,6
11286,1,0.5,-0.4,0.33333333333333337,0.8,4
11378,0.5,-0.5,-0.19999999999999996,0.33333333333333337,0.3999999999999999,2
11397,1,0.5,0,0.33333333333333337,-0.19999999999999996,5
11457,0.5,0.5,0,1,-0.19999999999999996,2
11465,1,1,0,0.33333333333333337,0,6
11473,1,0.5,-0.19999999999999996,0.33333333333333337,1,4
